2014,,,,,,,,,
CDACA,DBDCB,DDACB,CBCAB,DBCAA,BCACC,AABCD,DDCAB,ADDBB,DCBDB
ABCDC,DAABD,BBADD,CADCB,ABCDA,,,,,
BADAC,CABBD,ACDCB,CBDDB,AACCD,BDDAA,CCBAD,ADDAC,BCDAB,ACBDA
BDCDC,ACBAB,ABBCA,CCADD,DDACB,ACCAC,BDCAA,DDBDB,CBAAB,DCDBC
2013,,,,,,,,,
AABDA,BDAAB,DDCCD,BCAAD,CBBAA,CBDDC,DABBC,AACCB,ADACA,CACDA
CDDCB,ACBBD,CDCAA,ADBAB,BCDBA,,,,,
CDCAD,BDCDC,BBDCA,BBBBD,AACAB,DCDCB,BDAAC,BADBC,ABCCD,CBADD
CCDAD,BABAC,CBADA,CCABD,CDABD,ADBBD,ADBCA,BBADC,BDCAA,BDBAC
2012,,,,,,,,,
CBCCB,DBAAC,DDCAC,DCBCB,BADDA,ADABA,CCBAD,DBCAD,ADACB,DBACB
ADBDC,DBCBA,DACDC,BAAAB,DCBCD,,,,,
ABBDB,CBCCA,DADCD,CBDBB,DACDB,DABCB,BACAD,CBCAC,BCBCD,DACDB
CACDA,BACCB,BACDC,CBBDD,BBABA,BCDAA,BCADB,CADAA,ABDBB,CCDAB
2011,,,,,,,,,
DDABD,ABDCB,DBCBD,BABAD,DACBC,CABAD,CBADB,CDBAD,BCDDA,CBDCA
DBBCD,ADBAC,CDCAB,DBCAC,AABAD,,,,,
ACBAB,CADDB,DCCBC,DABDD,CBBDA,ABCAD,CABCD,BBDAC,ABBCD,DDCBB
BCDCD,BDDBA,DBDAC,BDAAC,DACBA,BDBCA,BCDAC,BDABD,BCBBA,DAACD
2010,,,,,,,,,
AACCD,CBCBD,BDCCB,ABABD,BBDCB,ADBAA,ADDCD,AADCA,CBCCC,BBDCB
ABCCD,DCAAB,AADBD,CBDDC,CABDB,,,,,
DCCCB,DDBDD,BCBBC,ABCDD,CDCCB,CBABD,ACBCB,DDABC,BADDA,BACDB
ADCCB,ABDAB,DABCB,CADBA,DBADC,CBAAA,ACBAC,DBADA,CCACA,BDBBA
2009,,,,,,,,,
BACDB,DDCAA,DACDC,CBBDC,CADDB,ABCBB,ADADC,BDCBC,BADDC,AACDC
CBABD,CDACB,ACDCB,CBDAD,ABDCB,,,,,
BACDD,ACABC,DABCA,BCDBA,ABDAB,CACAC,CBABD,BABBD,DCABB,DACBD
CBBDC,DCADA,BACCB,ABCDB,BDCAA,DABAB,DABCB,CDACA,DACCD,BCBDB
2008,,,,,,,,,
BDDAC,DCDCA,ABDAD,DCCBC,ADBAA,DABCB,BADDC,CABCB,ACDCC,BDDDC
ADCDB,BACAB,CDCCB,BDDBB,ACABA,,,,,
CDBBC,DABCD,DBADA,CBADA,BABAB,CBBDD,CBDDB,DBCDC,ABCAD,DDCBC
CBBAA,AADAC,BDCDB,CDBAA,DDAAB,BACCD,AABBC,ADCAA,BAABB,DDBCB
2007,,,,,,,,,
ADBAB,CCDDC,BABCA,CADBC,DADCA,CBCDA,BCADB,BDBAC,DBCDC,BACBD
CBBDB,ACACD,ABBDC,CBADA,DDCDB,,,,,
BDBBB,CCADC,BCADD,DBDAA,ABACC,BDBAB,BDADA,CBAAA,ABCDA,DCCDA
DBACC,DCCDC,BDACB,BCDCD,ACADA,CDCAD,ADCAB,BACDC,BCADA,BAACC
2006,,,,,,,,,
CBCCD,DBBAB,DDCDB,ADDCC,ACBCD,CCDBC,BCDAC,CBCAD,CDACB,DABCA
CDBCB,ADABB,ACCAD,DACBA,BCDCB,,,,,
ACBAB,CADDB,DCCBC,DABDD,CBBDA,ABCAD,CABCD,BBDAC,ABBCD,DDCBB
ACBAD,CCCAB,DCDAB,ACADB,ACCDB,ACDBB,DBAAC,DABDC,CDACB,CCBAC
2005,,,,,,,,,
BBAAC,CDCDD,ABBBC,BDBCA,DADDA,BCBCD,DACDC,ADBDD,ACDAB,BBCCB
ACDCB,DCABB,BACCB,DDCAC,BDDAB,,,,,
CDCBC,DCDBC,ADDDB,DABDC,BADCB,CACAA,CCDAB,DBDAA,BBDDC,DAADC
ACDBB,DBDCA,ACCDC,DCBAB,ABBAB,BAADA,ADCAD,DBADC,ACDDA,ABDAD
2004,,,,,,,,,
CBDCD,DABCC,BDDBA,CDCDC,CABCC,CBDDB,CDDCD,ACBDC,ABCCA,DCCAB
BDCCD,AABDC,CCBAB,ADBCB,ABDCC,,,,,
BBADD,BBCCA,AACBB,DBDCC,CDCAD,CDBCD,ABBAD,ACBDA,BDCDA,DBCAD
CCCDA,ADCAC,CDACA,ABDCD,DDDDC,DABBC,BCDAD,DABAD,DBDCB,DCDAB
2003,,,,,,,,,
BDCCD,BBABA,DADCB,CBDAB,BDCCC,BBDCA,ADDBA,CCBAB,DCDBD,AACCB
BCBDD,CDAAB,DCCBA,BCCBD,ADAAD,,,,,
CBCAC,BADDC,BBDCB,CCBDA,CBCDB,CDCDB,CBCCC,BBCCD,BAACD,DBAAC
BCADC,BACCB,CDADB,DCCBA,CBDAB,DBDCC,BDADB,AABCC,BADCD,BCCAA
